peopleid3rog3,rog3,ctry,peopleid3,peopnameincountry,peopnameacrosscountries,naturalname,population,rog2,continent,regioncode,regionname,10_40window,peopleid1,affinitybloc,peopleid2,peoplecluster,populationpgac,jpscale,leastreached,frontier,workersneeded,rop25,rop25name,rop3,rol3,primarylanguagename,biblestatus,rlg3,primaryreligion,percentadherents,percentevangelical,indigenouscode,photoccversiontext,photoccversionurl,mapccversiontext,mapccversionurl,jf,audiorecordings,longitude,latitude
10161SY,SY,Syria,10161,Adyghe,Adyghe,Adyghe,29000,ASI,Asia,6,"Africa, North and Middle East",Y,12,"Eurasian Peoples",157,Caucasus,680700,1,Y,N,1,300058,Adyghe,100079,ady,Adyghe,4,6,Islam,0.400,0.100,N,,,,,Y,Y,36.50748,32.5365
10161TU,TU,"Türkiye (Turkey)",10161,Adyghe,Adyghe,Adyghe,359000,ASI,Asia,5,"Asia, Central",Y,12,"Eurasian Peoples",157,Caucasus,680700,1,Y,Y,7,300058,Adyghe,100079,ady,Adyghe,4,6,Islam,0.000,0.000,N,,,,,Y,Y,35.508126999961,38.666601000436
10161US,US,"United States",10161,Adyghe,Adyghe,Adyghe,9300,NAR,"North America",12,"America, North and Caribbean",N,12,"Eurasian Peoples",157,Caucasus,680700,1,Y,Y,1,300058,Adyghe,100079,ady,Adyghe,4,6,Islam,0.000,0.000,N,,,,,Y,Y,-76.145707394381,43.058449256928
10161WE,WE,"West Bank / Gaza",10161,Adyghe,Adyghe,Adyghe,1000,ASI,Asia,6,"Africa, North and Middle East",Y,12,"Eurasian Peoples",157,Caucasus,680700,1,Y,N,1,300058,Adyghe,100079,ady,Adyghe,4,6,Islam,0.300,0.000,N,,,,,Y,Y,35.079923,31.533095
10161RS,RS,Russia,10161,"Adyghe, West Circassian",Adyghe,Adyghe,111000,ASI,Asia,9,"Europe, Eastern and Eurasia",N,12,"Eurasian Peoples",157,Caucasus,680700,1,Y,Y,2,300058,Adyghe,100079,ady,Adyghe,4,6,Islam,0.070,0.070,Y,,,,,Y,Y,40.113917355801,44.594718641352
11486DJ,DJ,Djibouti,11486,Afar,Afar,Afar,334000,AFR,Africa,7,"Africa, East and Southern",Y,13,"Horn of Africa Peoples",104,Afar,2785000,1,Y,Y,7,300064,Afar,102419,aar,Afar,5,6,Islam,0.030,0.008,Y,,,,,Y,Y,42.52214,11.80625
11486ER,ER,Eritrea,11486,Afar,Afar,Afar,296000,AFR,Africa,7,"Africa, East and Southern",Y,13,"Horn of Africa Peoples",104,Afar,2785000,1,Y,N,6,300064,Afar,102419,aar,Afar,5,6,Islam,0.200,0.000,Y,,,,,Y,Y,41.69362,13.66698
11486ET,ET,Ethiopia,11486,Afar,Afar,Afar,2155000,AFR,Africa,7,"Africa, East and Southern",Y,13,"Horn of Africa Peoples",104,Afar,2785000,1,Y,N,43,300064,Afar,102419,aar,Afar,5,6,Islam,0.900,0.009,Y,,,,,Y,Y,40.8552,11.67485
19475PK,PK,Pakistan,19475,"Afghan Pawinda","Afghan Pawinda","Afghan Pawinda",1800,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",1800,1,Y,Y,1,300065,"Pawinda / Powindah",115237,pst,"Pashto, Central",0,6,Islam,0.000,0.000,N,,,,,N,Y,70.312910425577,33.705899576119
14372AF,AF,Afghanistan,14372,"Afghan, Tajik","Afghan, Tajik","Afghan Tajik",11670000,ASI,Asia,5,"Asia, Central",Y,14,Persian-Median,299,Tajik,12096700,1,Y,Y,233,306674,Persian,107989,prs,Dari,5,6,Islam,0.010,0.010,Y,"CC BY-NC 2.0",https://creativecommons.org/licenses/by-nc/2.0/,,,Y,Y,62.14612,31.15621
14372IR,IR,Iran,14372,"Afghan, Tajik","Afghan, Tajik","Afghan Tajik",425000,ASI,Asia,5,"Asia, Central",Y,14,Persian-Median,299,Tajik,12096700,1,Y,Y,8,306674,Persian,107989,prs,Dari,5,6,Islam,0.010,0.010,N,"CC BY-NC 2.0",https://creativecommons.org/licenses/by-nc/2.0/,,,Y,Y,61.493783,31.043472
14372KZ,KZ,Kazakhstan,14372,"Afghan, Tajik","Afghan, Tajik","Afghan Tajik",800,ASI,Asia,5,"Asia, Central",Y,14,Persian-Median,299,Tajik,12096700,1,Y,Y,1,306674,Persian,107989,prs,Dari,5,6,Islam,0.000,0.000,N,"CC BY-NC 2.0",https://creativecommons.org/licenses/by-nc/2.0/,,,Y,Y,76,45
14372UP,UP,Ukraine,14372,"Afghan, Tajik","Afghan, Tajik","Afghan Tajik",900,EUR,Europe,9,"Europe, Eastern and Eurasia",N,14,Persian-Median,299,Tajik,12096700,1,Y,Y,1,306674,Persian,107989,prs,Dari,5,6,Islam,0.000,0.000,N,"CC BY-NC 2.0",https://creativecommons.org/licenses/by-nc/2.0/,,,Y,Y,30.54,50.42
19314AS,AS,Australia,19314,"Afghani, general","Afghani, general",Afghan,33000,AUS,Australia,1,"Australia and Pacific",N,21,"South Asian Peoples",463,"South Asia Muslim - Pashtun",918900,1,Y,Y,1,300066,Afghan,115238,prs,Dari,5,6,Islam,0.000,0.000,N,,,,,Y,Y,144.951575,-37.807867
19314AU,AU,Austria,19314,"Afghani, general","Afghani, general",Afghan,44000,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",463,"South Asia Muslim - Pashtun",918900,1,Y,Y,1,300066,Afghan,115238,prs,Dari,5,6,Islam,0.000,0.000,N,,,,,Y,Y,16.21958,48.282744
19314BE,BE,Belgium,19314,"Afghani, general","Afghani, general",Afghan,26000,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",463,"South Asia Muslim - Pashtun",918900,1,Y,Y,1,300066,Afghan,115238,prs,Dari,5,6,Islam,0.000,0.000,N,,,,,Y,Y,4.55,51.2
19314CA,CA,Canada,19314,"Afghani, general","Afghani, general",Afghan,60000,NAR,"North America",12,"America, North and Caribbean",N,21,"South Asian Peoples",463,"South Asia Muslim - Pashtun",918900,1,Y,Y,1,300066,Afghan,115238,prs,Dari,5,6,Islam,0.000,0.000,N,,,,,Y,Y,-79.288,43.7834
19314DA,DA,Denmark,19314,"Afghani, general","Afghani, general",Afghan,20000,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",463,"South Asia Muslim - Pashtun",918900,1,Y,Y,1,300066,Afghan,115238,prs,Dari,5,6,Islam,0.000,0.000,N,,,,,Y,Y,12.464524,55.722454
19314GM,GM,Germany,19314,"Afghani, general","Afghani, general",Afghan,295000,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",463,"South Asia Muslim - Pashtun",918900,1,Y,Y,6,300066,Afghan,115238,prs,Dari,5,6,Islam,0.040,0.030,N,,,,,Y,Y,9.165,50.644
19314NL,NL,Netherlands,19314,"Afghani, general","Afghani, general",Afghan,53000,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",463,"South Asia Muslim - Pashtun",918900,1,Y,Y,1,300066,Afghan,115238,prs,Dari,5,6,Islam,0.000,0.000,N,,,,,Y,Y,4.767,52.307
19314NZ,NZ,"New Zealand",19314,"Afghani, general","Afghani, general",Afghan,3900,SOP,Oceania,1,"Australia and Pacific",N,21,"South Asian Peoples",463,"South Asia Muslim - Pashtun",918900,1,Y,Y,1,300066,Afghan,115238,prs,Dari,5,6,Islam,0.000,0.000,N,,,,,Y,Y,174.753984,-36.872571
19314SZ,SZ,Switzerland,19314,"Afghani, general","Afghani, general",Afghan,19000,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",463,"South Asia Muslim - Pashtun",918900,1,Y,Y,1,300066,Afghan,115238,prs,Dari,5,6,Islam,0.000,0.000,N,,,,,Y,Y,7.432,46.936
19314TU,TU,"Türkiye (Turkey)",19314,"Afghani, general","Afghani, general",Afghan,185000,ASI,Asia,5,"Asia, Central",Y,21,"South Asian Peoples",463,"South Asia Muslim - Pashtun",918900,1,Y,Y,4,300066,Afghan,115238,prs,Dari,5,6,Islam,0.000,0.000,N,,,,,Y,Y,28.978,41.008
19314UK,UK,"United Kingdom",19314,"Afghani, general","Afghani, general",Afghan,78000,EUR,Europe,10,"Europe, Western",N,21,"South Asian Peoples",463,"South Asia Muslim - Pashtun",918900,1,Y,N,2,300066,Afghan,115238,prs,Dari,5,6,Islam,0.400,0.400,N,,,,,Y,Y,-0.14,51.51
19314US,US,"United States",19314,"Afghani, general","Afghani, general",Afghan,102000,NAR,"North America",12,"America, North and Caribbean",N,21,"South Asian Peoples",463,"South Asia Muslim - Pashtun",918900,1,Y,Y,2,300066,Afghan,115238,prs,Dari,5,6,Islam,0.000,0.000,N,,,,,Y,Y,-122.168033,37.756624
10167SU,SU,Sudan,10167,"Afitti, Ditti",Afitti,Afitti,5500,AFR,Africa,7,"Africa, East and Southern",Y,22,"Sub-Saharan Peoples",249,Nubian,5500,1,Y,Y,1,300067,Afitti,100090,aft,Afitti,2,6,Islam,0.000,0.000,Y,,,,,N,N,30.76247,12.43159
22380IZ,IZ,Iraq,22380,Afro-Iraqi,Afro-Iraqi,Afro-Iraqi,1000000,ASI,Asia,6,"Africa, North and Middle East",Y,10,"Arab World",113,"Arab, Levant",1000000,1,Y,N,20,0,,119381,acm,"Arabic, Mesopotamian",4,6,Islam,0.600,0.300,N,"CC BY-SA 2.0",https://creativecommons.org/licenses/by-sa/2.0/,,,Y,Y,47.75,30.43
19409AF,AF,Afghanistan,19409,Afshari,Afshari,Afshari,16000,ASI,Asia,5,"Asia, Central",Y,24,"Turkic Peoples",126,Azerbaijani,417000,1,Y,Y,1,300091,Afshari,100096,azb,"Azerbaijani, South",5,6,Islam,0.039,0.039,N,,,,,Y,Y,69.289760000024,34.447959999954
19409IR,IR,Iran,19409,Afshari,Afshari,Afshari,401000,ASI,Asia,5,"Asia, Central",Y,24,"Turkic Peoples",126,Azerbaijani,417000,1,Y,Y,8,300091,Afshari,100096,azb,"Azerbaijani, South",5,6,Islam,0.000,0.000,Y,,,,,Y,Y,48.733730000439,36.665654000332
21311IN,IN,India,21311,"Agamudaiyan Mukkulattar","Agamudaiyan Mukkulattar","Agamudaiyan Mukkulattar",2500,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",2500,1,Y,Y,1,309268,Agamudaiyan,118143,tam,Tamil,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,79.984268882638,12.690151455931
21312IN,IN,India,21312,"Agamudaiyan Nattaman","Agamudaiyan Nattaman","Agamudaiyan Nattaman",782000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",790900,1,Y,N,16,309268,Agamudaiyan,118144,tam,Tamil,5,5,Hinduism,0.194,,Y,,,,,Y,Y,78.593263629882,10.884500643346
16172IN,IN,India,16172,"Agamudaiyan unspecified",Agamudaiyan,"Agamudaiyan unspecified",258000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",267400,1,Y,N,5,309268,Agamudaiyan,111274,tam,Tamil,5,5,Hinduism,0.504,,Y,,,,,Y,Y,78.977985001588,10.855101026211
16174IN,IN,India,16174,"Agariya (Hindu traditions)","Agariya (Hindu traditions)","Agariya (Hindu traditions)",246000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",475,"South Asia Tribal - other",246000,1,Y,N,5,309205,"Agariya / Agaria",111276,agi,Agariya,0,5,Hinduism,0.288,,Y,,,,,N,Y,83.358143834705,23.492523304357
16175IN,IN,India,16175,"Agariya (Muslim traditions)","Agariya (Muslim traditions)","Agariya (Muslim traditions)",18000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",19700,1,Y,Y,1,300095,Agaria,111277,urd,Urdu,5,6,Islam,0.000,0.000,Y,,,,,Y,Y,82.063336779221,26.608623462381
16175PK,PK,Pakistan,16175,"Agariya (Muslim traditions)","Agariya (Muslim traditions)","Agariya (Muslim traditions)",1700,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",19700,1,Y,Y,1,300095,Agaria,111277,snd,Sindhi,5,6,Islam,0.000,0.000,Y,,,,,Y,Y,69.2364876738,26.0106799326
16176IN,IN,India,16176,Agaru,Agaru,Agaru,1900,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",1900,1,Y,Y,1,300096,Agaru,111278,tel,Telugu,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,84.827488648461,19.759554901125
19163IN,IN,India,19163,"Ager (Hindu traditions)","Ager (Hindu traditions)","Ager (Hindu traditions)",17000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",412,"South Asia Dalit - other",18300,1,Y,Y,1,300103,Ager,111279,kan,Kannada,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,74.834203904264,15.012106209228
19163PK,PK,Pakistan,19163,"Ager (Hindu traditions)","Ager (Hindu traditions)","Ager (Hindu traditions)",1300,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",412,"South Asia Dalit - other",18300,1,Y,Y,1,300103,Ager,111279,snd,Sindhi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,70.13657,24.77378
19476PK,PK,Pakistan,19476,"Ager (Muslim traditions)","Ager (Muslim traditions)","Ager (Muslim traditions)",8900,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",462,"South Asia Muslim - other",8900,1,Y,Y,1,300103,Ager,115240,snd,Sindhi,5,6,Islam,0.000,0.000,Y,,,,,Y,Y,68.512294615815,25.498444138806
16178IN,IN,India,16178,Aghori,Aghori,Aghori,82000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",82000,1,Y,Y,2,300105,Aghori,111282,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,"CC BY-SA 3.0",https://creativecommons.org/licenses/by-sa/3.0/,,,Y,Y,79.135460974084,26.660436411926
10184RS,RS,Russia,10184,Aghul,Aghul,Aghul,35000,ASI,Asia,9,"Europe, Eastern and Eurasia",N,12,"Eurasian Peoples",157,Caucasus,35000,1,Y,Y,1,300118,"Agul (Aghul)",100126,agx,Aghul,3,6,Islam,0.002,0.002,Y,,,,,N,N,47.55402,41.93085
16180IN,IN,India,16180,Agri,Agri,Agri,519000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",519000,1,Y,Y,10,300112,Agri,111284,mar,Marathi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,73.485012081545,19.616625526919
12392RP,RP,Philippines,12392,"Agta, Casiguran Dumagat","Agta, Casiguran Dumagat","Casiguran Dumagat Agta",900,ASI,Asia,2,"Asia, Southeast",N,17,"Malay Peoples",168,"Filipino, Tribal",900,1,Y,N,1,302222,"Agta (Dumagat)",104350,dgc,"Agta, Casiguran Dumagat",4,4,"Ethnic Religions",4.000,1.000,Y,,,,,N,Y,121.87821,16.2176
16182BG,BG,Bangladesh,16182,Aguri,Aguri,Aguri,2600,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",620600,1,Y,Y,1,300120,Aguri,111287,ben,Bengali,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,88.846610272225,25.867366725178
16182IN,IN,India,16182,Aguri,Aguri,Aguri,618000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",620600,1,Y,N,12,300120,Aguri,111287,ben,Bengali,5,5,Hinduism,0.109,,Y,,,,,Y,Y,87.760220572264,23.198990738754
16184IN,IN,India,16184,Ahar,Ahar,Ahar,1719000,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",1721400,1,Y,Y,34,300128,Ahar,111289,hin,Hindi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,79.663813563315,28.830359322885
16184NP,NP,Nepal,16184,Ahar,Ahar,Ahar,2400,ASI,Asia,4,"Asia, South",Y,21,"South Asian Peoples",442,"South Asia Hindu - other",1721400,1,Y,Y,1,300128,Ahar,111289,awa,Awadhi,5,5,Hinduism,0.000,0.000,Y,,,,,Y,Y,83.090655901942,27.901461161429
